Title,Description,Land Tenure,Tent Sites,Landing Comments,Camp Comments,Other Comments,Layer Title,Latitude,Longitude,x,y
Boat Bay,Campsite primary,Crown Conservancy,1 - 3,"Moderate, gravel, drift logs at high water, canoe run through large cobble at mid water. mud, sand at low water.  Vessel traffic. Warden camp float at S end.","At S point, tent sites and built structures are reserved for and occupied by <a href="https://www.cetussociety.org/" target="_blank" style="color:blue">Cetus Society</a> wardens during the summer, June thru September, and are not usable for the public during that time. Tent pads. Pit toilet. Cookhouse. Food cache. No known facilities at centre bay but reports of beach tent sites, useable during neap tides.","Water at seasonal creek. Trail to Eagle Eye lookout. View. Provincial Boat Haven. aka Warden Camp, Warden Cabin. Research and monitoring of orcas. Guardians are contractors paid by BC Govt. Potential cultural tourism location. See <a href="https://bcparks.ca/qwiquallaaq-boat-bay-conservancy/" target="_blank" style="color:blue">Qwiquallaaq/Boat Bay Conservancy</a>.",Reported Site,50.52435,-126.56790,-14089474.179,6537584.139
Roquefeuil Bay north,Commercial,Treaty Settlement Land,n/a,"Sand beach. SW aspect. This site is in Huu-ay-aht Treaty Settlement Lands. Day use permit required, see: https://huuayaht.org/services/lands-permits/",No Camping allowed. Day use with permit: https://huuayaht.org/services/lands-permits/,No comments.,Reported Site,48.86354,-125.10561,-13926692.956,6251737.984
Calmus Passage,Day Use,Provincial Forest,n/a,Small beach E aspect beside rock promontory. Location uncertain.,"No known camping. Ahousaht requested no camping,",Site reported at this location not yet independently verified. Treat data with caution. Site Condition Reports welcomed. ,Reported Site,49.21489,-126.00715,-14027051.997,6311402.702
Ritchie Bay,Potential Campsite,Provincial Recreation Site,unknown,Protected rocky beach in large bay. SSW aspect. ,"Potential beach , upland sites. Hammock opportunities. Another potential camp location at W aspect bay at stream mouth approx. 800 m to S of marked site.",Large Recreation Site 146 Ha.,Reported Site,49.23658,-125.89556,-14014630.078,6315098.974
Roquefeuil Bay,Day Use,Treaty Settlement Land,unknown,"Mixed sand, small rock beaches on both sides of lagoon channel. N or S aspect. Extensive lagoon. Kelp. This site is on Huu-ay-aht Treaty Settlement Lands. Permit required for day use, see: https://huuayaht.org/services/lands-permits/",No camping allowed.,On Huu-ay-aht Treaty Settlement Lands. Permit required. Apply here: https://huuayaht.org/camping-permit-application/,Reported Site,48.85884,-125.10571,-13926704.044,6250943.349
Cable Beach,Potential Campsite,Provincial Forest,unknown,Low gradient sand beach. SW aspect. No obstructions visible on sat images.,Unknown,Water at seasonal stream at NW end. Site reported at this location not yet independently verified. Treat data with caution. Site Condition Reports welcomed. ,Reported Site,49.26089,-126.02046,-14028533.437,6319244.785
